circuit,task,head_i,head_j,layer_i,layer_j,layer_dist,walsh_coeff,abs_walsh,ov_overlap,qk_comp,q_comp_ij,q_comp_ji,k_comp_ij,k_comp_ji,mean_principal_angle,faithfulness
rti_C6_epistatic,rti,L0H1,L1H11,0,1,1,-0.037883030079882474,0.037883030079882474,0.0394638292491436,0.049308884888887405,0.049308884888887405,0.0,0.04811440408229828,0.0,1.4826139211654663,2.6196567434817553
rti_C6_epistatic,rti,L0H1,L9H6,0,9,9,-0.019568334637341422,0.019568334637341422,0.029231615364551544,0.04144832119345665,0.03792859986424446,0.0,0.04144832119345665,0.0,1.5062131881713867,2.6196567434817553
rti_C6_epistatic,rti,L0H1,L2H2,0,2,2,0.0034511739849847345,0.0034511739849847345,0.0368325412273407,0.026919905096292496,0.026919905096292496,0.0,0.0216594897210598,0.0,1.4739198684692383,2.6196567434817553
rti_C6_epistatic,rti,L0H1,L5H6,0,5,5,0.0069228579664866174,0.0069228579664866174,0.03922693803906441,0.03613441064953804,0.029880793765187263,0.0,0.03613441064953804,0.0,1.4671051502227783,2.6196567434817553
rti_C6_epistatic,rti,L0H1,L2H11,0,2,2,-0.0007147524895287916,0.0007147524895287916,0.03710015490651131,0.030765073373913765,0.030765073373913765,0.0,0.02885337360203266,0.0,1.4758288860321045,2.6196567434817553
rti_C6_epistatic,rti,L0H3,L9H9,0,9,9,-0.004219299167033341,0.004219299167033341,0.03086009994149208,0.03721830993890762,0.03515792265534401,0.0,0.03721830993890762,0.0,1.4987411499023438,2.6196567434817553
rti_C6_epistatic,rti,L0H3,L1H11,0,1,1,-0.007856862617330762,0.007856862617330762,0.037259798496961594,0.03879322484135628,0.03879322484135628,0.0,0.03699825704097748,0.0,1.4910001754760742,2.6196567434817553
rti_C6_epistatic,rti,L0H3,L9H6,0,9,9,-0.007595237293884338,0.007595237293884338,0.032054197043180466,0.03613153472542763,0.033920325338840485,0.0,0.03613153472542763,0.0,1.5042412281036377,2.6196567434817553
rti_C6_epistatic,rti,L0H3,L2H2,0,2,2,-8.360469976764762e-05,8.360469976764762e-05,0.03519497811794281,0.0265513863414526,0.0265513863414526,0.0,0.023793254047632217,0.0,1.485652208328247,2.6196567434817553
rti_C6_epistatic,rti,L0H3,L5H6,0,5,5,0.001197568800961335,0.001197568800961335,0.03674566373229027,0.03432810679078102,0.02804623171687126,0.0,0.03432810679078102,0.0,1.4641096591949463,2.6196567434817553
