task,circuit,method_type,ablation,n_heads,n_prompts,faithfulness,order1_frac,order2_frac,order3plus_frac,epistasis
greater_than,ablation_discovered,knockout_topk,mean,7,1000,0.9155237123072147,0.954284723113073,0.032618490924083886,0.013096785962844344,0.38370745646233495
greater_than,ablation_discovered,knockout_topk,zero,7,1000,1.019929864704609,0.7244585052937816,0.252382925102096,0.023158569604122718,0.708627759608825
greater_than,known,mechanistic,mean,7,1000,0.8763372790813446,0.9408884731630754,0.05615520369768022,0.002956323139244652,0.5508981208013215
greater_than,known,mechanistic,zero,7,1000,0.35256149014830596,0.8721854335010932,0.1129391143928006,0.01487545210610618,0.4156508164080776
greater_than,random,random,mean,7,1000,0.03384899646043782,0.9762966108390028,0.023254575697776923,0.00044881346241396866,0.15906981823714028
greater_than,random,random,zero,7,1000,0.09947150915861136,0.9274659331766607,0.05817011070615355,0.01436395611713322,0.040962956498025525
induction,acdc_backward,acdc_backward,mean,7,500,2.8906878040730954,0.9625414167061314,0.035380763258363805,0.0020778200355048297,0.4115342402253148
induction,acdc_backward,acdc_backward,zero,7,500,4.251260565429925,0.9850541838232953,0.011711061672511194,0.00323475450419565,0.3752035576955838
induction,greedy_sufficiency,greedy_sufficiency,mean,7,500,2.831689406365156,0.9696847216999316,0.03016385454979281,0.00015142375026277146,0.3595530962628517
induction,greedy_sufficiency,greedy_sufficiency,zero,7,500,4.046415896981955,0.9760229092777708,0.023371817407627494,0.0006052733146009728,0.382772679248208
induction,ablation_discovered,knockout_topk,mean,7,500,4.097066683292389,0.905237609685609,0.0727558568636353,0.022006533450756764,0.3041029437623431
induction,ablation_discovered,knockout_topk,zero,7,500,2.440068281680346,0.6968543077386447,0.23130343020980107,0.07184226205156413,0.6274275296732563
induction,known,mechanistic,mean,7,500,4.614920217394828,0.940599074758823,0.058332093430723625,0.0010688318104494603,0.5632978850873025
induction,known,mechanistic,zero,7,500,3.737516864601523,0.7953317710283744,0.15603838130439615,0.04862984766723041,0.9671861613855806
induction,random,random,mean,7,500,0.16507511529326457,0.97695190025449,0.02295975192101699,8.834782430848563e-05,0.8460306300539377
induction,random,random,zero,7,500,1.8915497148782014,0.9662253224917772,0.03229830899209104,0.0014763685161211769,0.36664551839720627
gendered_pronoun,acdc_backward,acdc_backward,mean,5,986,-0.009537624297229153,0.9944295902496074,0.005488830412548383,8.157933784463463e-05,2.4624963149956223
gendered_pronoun,acdc_backward,acdc_backward,zero,5,986,-0.06305334389088846,0.9925972212826768,0.007397313409303904,5.465308025515824e-06,0.3445252594407924
gendered_pronoun,greedy_sufficiency,greedy_sufficiency,mean,5,986,-0.009537624297229153,0.9944295902496074,0.005488830412548383,8.157933784463463e-05,2.4624963149956223
gendered_pronoun,greedy_sufficiency,greedy_sufficiency,zero,5,986,-0.06305334389088846,0.9925972212826768,0.007397313409303904,5.465308025515824e-06,0.3445252594407924
gendered_pronoun,ablation_discovered,knockout_topk,mean,5,986,0.6098382003892509,0.9828126880065144,0.017072912342890906,0.0001143996505950659,-0.12215205276602134
gendered_pronoun,ablation_discovered,knockout_topk,zero,5,986,0.5305576024626137,0.9666892997373615,0.032958982298681,0.000351717963958374,0.05039033554921125
gendered_pronoun,known,mechanistic,mean,5,986,-0.02540185146834739,0.9994096478147554,0.0005899855698608157,3.6661651577119363e-07,-0.07675862191851815
gendered_pronoun,known,mechanistic,zero,5,986,0.20515402141981143,0.9893988011416515,0.010523902973874975,7.72958844533425e-05,0.2128709263661023
gendered_pronoun,random,random,mean,5,986,0.04942453028464178,0.9971635823704984,0.0027612908046138456,7.512682455865725e-05,0.08341107046412963
gendered_pronoun,random,random,zero,5,986,-0.01833849843085178,0.9709496997561128,0.028892850410091746,0.00015744983359193166,1.0529134225888854
sva,acdc_backward,acdc_backward,mean,12,500,0.5542162532210351,0.9522682708797561,0.045844504516745974,0.001887224603498137,0.5105283887774081
sva,acdc_backward,acdc_backward,zero,12,500,0.6156827839016914,0.9293388835524878,0.06477155908730167,0.005889557360213731,0.531140167175478
sva,greedy_sufficiency,greedy_sufficiency,mean,12,500,0.5630991051793098,0.9541437138809287,0.04372126784093895,0.0021350182781247435,0.5146743961432327
sva,greedy_sufficiency,greedy_sufficiency,zero,12,500,0.6198252356052398,0.9348493229502012,0.05948726656671702,0.005663410483082259,0.5418256720592916
sva,ablation_discovered,knockout_topk,mean,12,500,0.580135559797287,0.9526226131507024,0.045825349810135176,0.0015520370391663711,0.5400369699159878
sva,ablation_discovered,knockout_topk,zero,12,500,0.5872504249811172,0.9205303585027785,0.07735757490830591,0.002112066588915327,0.6175950988271404
sva,known,mechanistic,mean,12,500,0.03847033345699313,0.9735755721598035,0.0257185604682794,0.0007058673720551533,0.3890202988886867
sva,known,mechanistic,zero,12,500,-0.032390880107879605,0.989352005365148,0.010401919096404248,0.00024607553844055143,-1.1707071312218376
sva,random,random,mean,12,500,0.021964,0.9847,0.0151,0.0003,-0.2204
sva,random,random,zero,12,500,0.018246858000755317,0.4409318299801708,0.34946084847626707,0.20960732154359887,3.6632623694450825
